Date,Elevation
4/15/66,4194.9
4/16/66,
4/17/66,
4/18/66,
4/19/66,
4/20/66,
4/21/66,
4/22/66,
4/23/66,
4/24/66,
4/25/66,
4/26/66,
4/27/66,
4/28/66,
4/29/66,
4/30/66,
5/1/66,4194.9
5/2/66,
5/3/66,
5/4/66,
5/5/66,
5/6/66,
5/7/66,
5/8/66,
5/9/66,
5/10/66,
5/11/66,
5/12/66,
5/13/66,
5/14/66,
5/15/66,4194.9
5/16/66,
5/17/66,
5/18/66,
5/19/66,
5/20/66,
5/21/66,
5/22/66,
5/23/66,
5/24/66,
5/25/66,
5/26/66,
5/27/66,
5/28/66,
5/29/66,
5/30/66,
5/31/66,
6/1/66,4194.9
6/2/66,
6/3/66,
6/4/66,
6/5/66,
6/6/66,
6/7/66,
6/8/66,
6/9/66,
6/10/66,
6/11/66,
6/12/66,
6/13/66,
6/14/66,
6/15/66,4194.6
6/16/66,
6/17/66,
6/18/66,
6/19/66,
6/20/66,
6/21/66,
6/22/66,
6/23/66,
6/24/66,
6/25/66,
6/26/66,
6/27/66,
6/28/66,
6/29/66,
6/30/66,
7/1/66,4193.3
7/2/66,
7/3/66,
7/4/66,
7/5/66,
7/6/66,
7/7/66,
7/8/66,
7/9/66,
7/10/66,
7/11/66,
7/12/66,
7/13/66,
7/14/66,
7/15/66,4194.2
7/16/66,
7/17/66,
7/18/66,
7/19/66,
7/20/66,
7/21/66,
7/22/66,
7/23/66,
7/24/66,
7/25/66,
7/26/66,
7/27/66,
7/28/66,
7/29/66,
7/30/66,
7/31/66,
8/1/66,4193.9
8/2/66,
8/3/66,
8/4/66,
8/5/66,
8/6/66,
8/7/66,
8/8/66,
8/9/66,
8/10/66,
8/11/66,
8/12/66,
8/13/66,
8/14/66,
8/15/66,4193.6
8/16/66,
8/17/66,
8/18/66,
8/19/66,
8/20/66,
8/21/66,
8/22/66,
8/23/66,
8/24/66,
8/25/66,
8/26/66,
8/27/66,
8/28/66,
8/29/66,
8/30/66,
8/31/66,
9/1/66,4193.3
9/2/66,
9/3/66,
9/4/66,
9/5/66,
9/6/66,
9/7/66,
9/8/66,
9/9/66,
9/10/66,
9/11/66,
9/12/66,
9/13/66,
9/14/66,
9/15/66,4193.2
9/16/66,
9/17/66,
9/18/66,
9/19/66,
