,Site,GCM_pg
0,Cable Gate,11563.40758
1,Cable Gate,10629.14328
2,Cable Gate,10923.56761
3,West Knoll,10413.54461
4,West Knoll,13530.58929
5,West Knoll,7798.556309
6,West Knoll,4714.955872
7,West Knoll,2086.739083
8,West Knoll,12898.84405
9,West Knoll,11328.85854
10,West Knoll,3373.775631
11,West Knoll,7588.360814
12,Long Lake,10202.31908
13,Long Lake,8032.843488
14,Long Lake,7622.995779
15,West Knoll,7451.387454
16,West Knoll,9681.781474
17,Cable Gate,9166.906396
18,Cable Gate,3101.191785
19,Cable Gate,8464.726516
20,West Knoll,2555.501229
21,West Knoll,2656.357971
22,West Knoll,7184.813401
23,West Knoll,7494.844024
24,West Knoll,4423.849231
25,West Knoll,7574.873637
26,West Knoll,11551.25275
27,West Knoll,3508.791451
28,West Knoll,4320.304402
29,West Knoll,7169.233683
30,West Knoll,6937.691948
31,West Knoll,3682.347737
32,West Knoll,10600.03736
33,West Knoll,8763.88082
34,West Knoll,3671.696399
35,West Knoll,5460.328035
36,West Knoll,9224.051932
37,West Knoll,5152.960363
38,West Knoll,3346.645098
39,West Knoll,6944.39406
40,Cable Gate,3375.85483
41,Cable Gate,2391.540034
42,Cable Gate,2667.61385
43,West Knoll,3380.834195
44,West Knoll,1997.506187
45,West Knoll,5566.656068
46,West Knoll,5068.887295
47,West Knoll,3011.41036
48,West Knoll,4823.64386
49,West Knoll,4191.337215
50,West Knoll,2382.67909
51,West Knoll,3733.349695
52,West Knoll,6147.084577
53,West Knoll,2510.726898
54,West Knoll,2524.599661
55,West Knoll,3070.051038
56,Cable Gate,2058.969329
57,Cable Gate,1959.352059
58,Cable Gate,1906.10691
59,Long Lake,3552.72238
60,Long Lake,1332.291848
61,Long Lake,834.0471397
62,West Knoll,2409.082331
63,West Knoll,3820.159299
64,West Knoll,5498.395459
65,West Knoll,6315.085465
66,West Knoll,6596.494759
67,West Knoll,5498.395459
68,West Knoll,2145.282824
69,West Knoll,3592.122472
70,West Knoll,10359.42617
71,West Knoll,5223.489074
72,West Knoll,2521.457733
73,West Knoll,1863.062959
74,West Knoll,7124.036634
75,West Knoll,4243.710999
76,West Knoll,2195.373575
77,West Knoll,4432.816867
78,West Knoll,5907.7399
79,West Knoll,3781.171857
80,West Knoll,1328.038523
81,West Knoll,1626.290164
82,West Knoll,7813.06884
83,West Knoll,3990.391094
84,West Knoll,1991.523326
85,West Knoll,1711.879995
86,West Knoll,3910.372543
87,Cable Gate,6138.824698
88,Cable Gate,3391.772613
89,Cable Gate,6155.326683
90,Cable Gate,2392.560366
91,Long Lake,1804.870175
92,Long Lake,2219.312136
93,Long Lake,6964.362748
94,Cable Gate,4261.143434
95,Cable Gate,2103.298327
96,Cable Gate,5588.298378
97,Cable Gate,10006.32459
98,West Knoll,3588.476581
99,West Knoll,4081.991951
100,West Knoll,4706.125989
101,West Knoll,5310.408749
102,West Knoll,4318.724805
103,West Knoll,2981.705191
104,West Knoll,3636.968119
105,West Knoll,8426.719733
106,West Knoll,3512.231322
107,West Knoll,2195.60841
108,West Knoll,3231.773896
