sample,light,shaken,height
1,low,no,16.43181709
2,low,no,15.26766755
3,low,no,15.47611041
4,low,no,15.05725347
5,low,no,13.80320342
6,low,no,15.00838504
7,low,no,13.08046667
8,low,no,12.70130134
9,low,no,14.25112713
10,low,no,18.60996934
11,low,no,14.52883702
12,low,no,11.11181463
13,low,no,17.06106818
14,low,no,12.49058932
15,low,no,14.13179851
16,low,no,15.06231163
17,low,no,14.76887184
18,low,no,14.67738844
19,low,no,17.49146164
20,low,no,16.94944303
21,low,no,9.796712665
22,low,no,13.96413738
23,low,no,17.35247859
24,low,no,17.50029875
25,low,no,14.70371167
26,low,no,14.53704293
27,low,no,14.43006367
28,low,no,17.05600302
29,low,no,18.45349472
30,low,no,15.20542888
31,low,no,11.70694428
32,low,no,15.83160667
33,low,no,17.24463022
34,low,no,14.50846851
35,low,no,14.2762482
36,low,no,13.70104458
37,low,no,12.68108984
38,low,no,15.14721211
39,low,no,12.74169873
40,low,no,12.11836983
41,low,no,11.71414683
42,low,no,13.51207335
43,low,no,16.968962
44,low,no,13.25886648
45,low,no,14.07726317
46,low,no,15.56382211
47,low,no,13.35659923
48,low,no,13.63735164
49,low,no,14.17929803
50,low,no,15.49904646
51,low,no,14.73894454
52,low,no,16.13014723
53,low,no,13.28295332
54,low,no,17.32142441
55,low,no,17.70605376
56,low,no,16.94625057
57,low,no,14.07579992
58,low,no,13.68941789
59,low,no,12.73046057
60,low,no,16.07803543
61,low,no,19.24186179
62,low,no,11.47990561
63,low,no,14.42743325
64,low,no,14.44388548
65,low,no,11.73182903
66,low,no,14.63242826
67,low,no,18.88498808
68,low,no,15.70493572
69,low,no,15.18942186
70,low,no,14.1421895
71,low,no,15.98223078
72,low,no,18.90514183
73,low,no,16.61451267
74,low,no,15.62360322
75,low,no,16.70599994
76,low,no,17.41846362
77,low,no,13.28063732
78,low,no,11.71973962
79,low,no,14.25412726
80,low,no,13.45663035
81,low,no,15.69408215
82,low,no,19.76936112
83,low,no,15.83178145
84,low,no,17.7542162
85,low,no,14.60368498
86,low,no,13.49405451
87,low,no,15.72870407
88,low,no,16.59220341
89,low,no,16.52565434
90,low,no,12.11014286
91,low,no,15.10105648
92,low,no,14.20769084
93,low,no,14.28395584
94,low,no,16.77136201
95,low,no,13.5277751
96,low,no,17.4262506
97,low,no,15.8970507
98,low,no,14.76729609
99,low,no,15.28761044
100,low,no,16.85421465
1,high,no,17.91617885
2,high,no,18.7183348
3,high,no,16.39031112
4,high,no,21.4318946
5,high,no,18.86912493
6,high,no,20.0751234
7,high,no,12.14785357
8,high,no,18.78478175
9,high,no,18.10591075
10,high,no,21.6548538
11,high,no,21.37061495
12,high,no,15.12155806
13,high,no,18.07954786
14,high,no,17.47097838
15,high,no,18.18471004
16,high,no,18.9809993
17,high,no,17.61143447
18,high,no,19.89011499
19,high,no,16.97507011
20,high,no,18.71193628
21,high,no,16.85494074
22,high,no,20.19408674
23,high,no,17.23543927
24,high,no,20.930698
25,high,no,17.81540713
26,high,no,19.62733892
27,high,no,20.00906613
28,high,no,20.16447792
29,high,no,19.57659581
30,high,no,16.92633092
31,high,no,18.1934574
32,high,no,21.15464194
33,high,no,22.19927191
34,high,no,17.32302043
35,high,no,17.9023685
36,high,no,17.44600494
37,high,no,17.6964755
38,high,no,17.92851942
39,high,no,17.78118787
40,high,no,16.38213386
41,high,no,15.07441813
42,high,no,16.91982851
43,high,no,15.31994488
44,high,no,17.11587917
45,high,no,17.34900851
46,high,no,13.79568503
47,high,no,17.37143932
48,high,no,15.29651992
49,high,no,21.08679342
50,high,no,22.88732082
51,high,no,20.9548968
52,high,no,16.98452038
53,high,no,16.54869619
54,high,no,16.50948995
55,high,no,14.67954702
56,high,no,20.93476342
57,high,no,20.57380489
58,high,no,16.56972907
59,high,no,17.41012784
60,high,no,13.4788442
61,high,no,21.98296229
62,high,no,16.59890741
63,high,no,19.05095427
64,high,no,17.90893544
65,high,no,19.3020819
66,high,no,16.871419
67,high,no,14.35863605
68,high,no,18.3182011
69,high,no,16.30738525
70,high,no,18.97608001
71,high,no,15.70221315
72,high,no,16.29693721
73,high,no,17.76578388
74,high,no,16.78506987
75,high,no,17.80939547
76,high,no,18.72768401
77,high,no,15.3778999
78,high,no,15.97884662
79,high,no,17.3232602
80,high,no,20.12865561
81,high,no,17.52299751
82,high,no,20.6695402
83,high,no,19.03654879
84,high,no,19.56172075
85,high,no,15.47666257
86,high,no,18.60143071
87,high,no,15.89520231
88,high,no,17.50687956
89,high,no,15.84620778
90,high,no,20.83266394
91,high,no,20.64337953
92,high,no,17.1779897
93,high,no,17.17877773
94,high,no,19.36983801
95,high,no,19.83032814
96,high,no,19.13985371
97,high,no,19.2370364
98,high,no,17.93777034
99,high,no,14.16384605
100,high,no,16.65784779
1,low,yes,13.25509902
2,low,yes,13.43212087
3,low,yes,14.49093549
4,low,yes,12.35858147
5,low,yes,14.04951754
6,low,yes,14.00889946
7,low,yes,13.10426976
8,low,yes,15.27208659
9,low,yes,12.61953571
10,low,yes,14.39129608
11,low,yes,15.17648384
12,low,yes,11.31837034
13,low,yes,10.74916383
14,low,yes,16.38213003
15,low,yes,11.71031898
16,low,yes,15.13148391
17,low,yes,14.22650139
18,low,yes,18.42381307
19,low,yes,14.68689919
20,low,yes,12.84801753
21,low,yes,14.00392082
22,low,yes,12.5165139
23,low,yes,15.15715506
24,low,yes,9.891090151
25,low,yes,12.2068806
26,low,yes,13.05767571
27,low,yes,14.4856078
28,low,yes,12.07101476
29,low,yes,11.4128334
30,low,yes,14.70469717
31,low,yes,12.95969089
32,low,yes,14.24080495
33,low,yes,12.7690964
34,low,yes,14.51224069
35,low,yes,14.53097035
36,low,yes,9.356168314
37,low,yes,14.22914548
38,low,yes,14.69387795
39,low,yes,14.97989126
40,low,yes,14.08540105
41,low,yes,13.96847562
42,low,yes,14.9681295
43,low,yes,11.78373538
44,low,yes,14.54736343
45,low,yes,10.99945545
46,low,yes,15.58275573
47,low,yes,9.871549676
